URL,company_name,headquarters,industry,total_rating,highest_score_name,highest_score_point,course_name,duration,start_date,entry_deadline,catch_phrase
/2026/company/r939010062/internship/,株式会社日本レジストリサービス,東京,インターネット関連／通信／情報処理／シンクタンク／その他サービス,N/A,N/A,N/A,AI技術オープン・カンパニー【冬コース】,1日,12月随時、1月随時(東京),1月24日,◆JPRSでは、4種類のオープン・カンパニーを開催します！◆
/2026/company/r695230055/internship/,株式会社米沢牛黄木,山形,食品／商社（食料品）／百貨店／外食・レストラン・フードサービス／広告,N/A,N/A,N/A,業界研究！食品・食肉・飲食業界と黄木を知る1day,1日,10/26、11/16、12/17、1月随時(WEB),1月24日,業界研究OK！食品・食肉・飲食業界と米沢牛黄木を知る1day仕事体験
/2026/company/r879212057/internship/,株式会社オートメ技研,石川,機械設計／機械／ソフトウェア,N/A,N/A,N/A,会社について知りたい！会社紹介コース【1日間】,1日,12月下旬、1月下旬、2月上旬(WEB),1月24日,【WEB開催】プログラミング・CADに触れることができる！設計・製図業務体験！★
/2026/company/r195122030/internship/,成和リニューアルワークス株式会社,東京,建設／機械／建設コンサルタント／機械設計／建築設計,N/A,N/A,N/A,【土木系仕事体験】リアルな施工管理職を学ぶ！,1日,1月随時(東京),1月24日,大成建設グループで「縁の下の力持ち」として社会インフラを支える
/2026/company/r119502002/internship/,株式会社岩田屋三越,福岡,百貨店,N/A,N/A,N/A,秋のオープンカンパニー ※ES評価POINT解説あり！,1日,10月随時(福岡)、10月随時(WEB),10月28日,【秋のオープン・カンパニー】※ES評価POINT解説あり！
/2026/company/r270591005/internship/,株式会社サンビシ,愛知,食品,N/A,N/A,N/A,サンビシをもっと知ろう！　コース,1日,1月随時(愛知),1月24日,サンビシってどんな会社？　☆☆サンビシをもっと知ろう！☆☆
/2026/company/r877900040/internship/,株式会社一条工務店群馬,群馬,住宅／建設／建材・エクステリア／不動産／建築設計,4.56,社員からのアドバイス,4.68,住まいの体験会・間取り提案ワークショップコース,1日,11/10(群馬),11月9日,【全3コース】群馬県戸建住宅施工棟数No.1住宅メーカーのオープン・カンパニー
/2026/company/r846032018/internship/,ダイトー株式会社,愛知,設備・設備工事関連／メンテナンス・清掃事業／建設／建設コンサルタント／建材・エクステリア,N/A,N/A,N/A,【先着順・選考なし】WEB説明会,1日,1月随時(WEB),1月30日,【先着順・選考なし】WEB説明会
/2026/company/r729822083/internship/,藤堂工業株式会社,富山,金属製品／その他製造,N/A,N/A,N/A,【WEB】業界・企業を知る！会社説明会,1日,10/25、10/29、11/27、12月随時、1月随時(WEB),1月24日,【WEB・対面】選べる3コース！1day仕事体験／会社説明会／インターンシップ
/2026/company/r912600065/internship/,株式会社ビッグボーイジャパン,東京,食品／外食・レストラン・フードサービス／その他サービス／商社（食料品）／その他商社,N/A,N/A,N/A,過去を見つめ、未来を創るオープンカンパニー,1日,1月随時(東京),1月15日,なりたい自分への第一歩：過去を見つめ、未来を創るオープンカンパニー
/2026/company/r758500036/internship/,日本曹達株式会社,東京,化学／農林／医薬品／半導体・電子部品・その他,N/A,N/A,N/A,職種別勉強会　専門系基幹職[研究職],1日,11月随時(WEB),11月5日,オンライン開催／職種別勉強会　化学メーカーのお仕事を2～2.5時間に凝縮！
/2026/company/r726400098/internship/,第一設備工業株式会社,東京,設備・設備工事関連／建設／プラント・エンジニアリング／半導体・電子部品・その他／その他サービス,N/A,N/A,N/A,＜充実のプログラム！体感！施工管理コース（1Day）＞,1日,2/18(埼玉)、2/4(東京)、2/21(愛知)、2/7(大阪)、2/14(福岡),1月31日,【開催予告】1から学べる！施工管理の仕事を体感する１ｄａｙ仕事体験開催！
/2026/company/r277772001/internship/,株式会社スポーツライフ,香川,スポーツ・フィットネス・ヘルス関連施設／専門店（スポーツ用品）／商社（アパレル・服飾雑貨・貴金属）／専門店（服飾雑貨・繊維製品・貴金属）,N/A,N/A,N/A,Aコース：スクールインストラクター_1DAY体験,1日,12月随時、1月随時(香川),1月24日,【先着順・選考なし】スポーツ好き必見！選べる！インストラクターOR店舗販売員
/2026/company/r746381099/internship/,株式会社ハーベスト,大阪,福祉・介護／ホテル／コンサルタント・専門コンサルタント／その他サービス,N/A,N/A,N/A,マネジメントコース,1日,12月随時(WEB),11月10日,人気の5コース！当社との出会いが人生を変えます！
/2026/company/r653811042/internship/,JA鹿児島県経済連グループ会社,鹿児島,農林／食品／スーパー・ストア／その他製造,N/A,N/A,N/A,１日でまるわかり！経済連グループ会社店舗見学コース,1日,10/30(鹿児島),10月28日,事務、営業、生産・製造・販売の仕事に興味のある方必見！
/2026/company/r575562030/internship/,三上税理士法人,愛知,コンサルタント・専門コンサルタント／各種ビジネスサービス／その他サービス,N/A,N/A,N/A,フォローアップ編,1日,11/14、12/18、1/21(愛知),1月20日,★☆★☆★　税理士補助体験♪　★☆★☆★
/2026/company/r956100094/internship/,田島ルーフィング株式会社,東京,建材・エクステリア／化学／プラント・エンジニアリング／住宅／文具・事務機器・インテリア,N/A,N/A,N/A,全職種対象｜業界研究会 BtoBだからできる事とは！？,1日,10月随時、11月随時、12月随時、1月随時(WEB),1月24日,トップシェアメーカーの仕事・キャリアを体感してみませんか？
/2026/company/r817092098/internship/,CAPS株式会社,東京,医療関連・医療機関／コンサルタント・専門コンサルタント／教育関連／スポーツ・フィットネス・ヘルス関連施設／ソフトウェア,N/A,N/A,N/A,会社説明会,1日,10月随時、11月随時、12月随時、1月随時(WEB),1月24日,【総合職】経営層と近い距離でキャリアスタート／急成長中のヘルステック企業研究
/2026/company/r712300099/internship/,カワセコンピュータサプライ株式会社,東京,印刷関連／情報処理／各種ビジネスサービス,N/A,N/A,N/A,国や大手が顧客の印刷会社の説明会★若手先輩×ＷＥＢ,1日,11月随時、12月随時、1月随時(東京),1月25日,なくてはならない印刷物を取り合う上場企業の事業や仕事が短時間でわかります！
/2026/company/r440481052/internship/,電力広域的運営推進機関,東京,電力・電気／団体・連合会／公社・官庁,N/A,N/A,N/A,業務体験コース：1日開催,1日,1月随時(東京),1月24日,★　納得！日本の電力システムの現在と未来 ◆ 「働く」を考える！　★
